election,precinct,registered,cast,democrat,republican
"March 3rd, 2020 Joint Primary",4115,191,55,28,27
"March 3rd, 2020 Joint Primary",4116,42,18,9,9
"March 3rd, 2020 Joint Primary",4117,523,157,104,53
"March 3rd, 2020 Joint Primary",4118,82,19,6,13
"March 3rd, 2020 Joint Primary",4119,624,175,143,32
"March 3rd, 2020 Joint Primary",4120,218,42,36,6
"March 3rd, 2020 Joint Primary",4121,212,40,21,19
"March 3rd, 2020 Joint Primary",4122,63,29,27,2
"March 3rd, 2020 Joint Primary",4123,145,37,30,7
"March 3rd, 2020 Joint Primary",4124,2262,325,273,52
"March 3rd, 2020 Joint Primary",4125,99,13,11,2
"March 3rd, 2020 Joint Primary",4126,1589,324,167,157
"March 3rd, 2020 Joint Primary",4127,81,5,5,0
"March 3rd, 2020 Joint Primary",4128,146,49,37,12
"March 3rd, 2020 Joint Primary",4129,131,26,13,13
"March 3rd, 2020 Joint Primary",4130,761,132,89,43
"March 3rd, 2020 Joint Primary",4131,400,55,41,14
"March 3rd, 2020 Joint Primary",4132,2390,447,319,128
"March 3rd, 2020 Joint Primary",4133,35,4,1,3
"March 3rd, 2020 Joint Primary",4134,5,0,0,0
"March 3rd, 2020 Joint Primary",4135,0,0,0,0
"March 3rd, 2020 Joint Primary",4136,597,114,56,58
"March 3rd, 2020 Joint Primary",4137,113,27,7,20
"March 3rd, 2020 Joint Primary",4138,0,0,0,0
"March 3rd, 2020 Joint Primary",4139,0,2,2,0
"March 3rd, 2020 Joint Primary",4140,0,0,0,0
"March 3rd, 2020 Joint Primary",4141,438,36,30,6
"March 3rd, 2020 Joint Primary",4142,802,93,83,10
"March 3rd, 2020 Joint Primary",4143,4190,706,596,110
"March 3rd, 2020 Joint Primary",4144,506,117,60,57
"March 3rd, 2020 Joint Primary",4145,10,2,2,0
"March 3rd, 2020 Joint Primary",4146,44,7,5,2
"March 3rd, 2020 Joint Primary",4147,312,98,73,25
"March 3rd, 2020 Joint Primary",4148,153,36,25,11
"March 3rd, 2020 Joint Primary",4149,540,70,58,12
"March 3rd, 2020 Joint Primary",4150,1677,317,246,71
"March 3rd, 2020 Joint Primary",4151,543,127,42,85
"March 3rd, 2020 Joint Primary",4152,2110,373,268,105
"March 3rd, 2020 Joint Primary",4153,110,23,13,10
"March 3rd, 2020 Joint Primary",4154,761,154,105,49
"March 3rd, 2020 Joint Primary",4155,2400,810,715,95
"March 3rd, 2020 Joint Primary",4156,1142,204,161,43
"March 3rd, 2020 Joint Primary",4157,1728,469,418,51
"March 3rd, 2020 Joint Primary",4158,534,56,39,17
"March 3rd, 2020 Joint Primary",4159,26,6,3,3
"March 3rd, 2020 Joint Primary",4160,1920,315,254,61
"March 3rd, 2020 Joint Primary",4161,651,111,103,8
"March 3rd, 2020 Joint Primary",4162,2429,406,278,128
"March 3rd, 2020 Joint Primary",4163,2188,401,305,96
"March 3rd, 2020 Joint Primary",4164,2382,492,268,224
"March 3rd, 2020 Joint Primary",4165,137,28,13,15
"March 3rd, 2020 Joint Primary",4166,340,57,41,16
"March 3rd, 2020 Joint Primary",4167,56,10,5,5
"March 3rd, 2020 Joint Primary",4168,2439,367,266,101
"March 3rd, 2020 Joint Primary",4169,343,87,44,43
"March 3rd, 2020 Joint Primary",4170,457,68,49,19
"March 3rd, 2020 Joint Primary",4171,1201,319,189,130
"March 3rd, 2020 Joint Primary",4172,1397,271,160,111
"March 3rd, 2020 Joint Primary",4173,1626,372,233,139
"March 3rd, 2020 Joint Primary",4174,1426,233,158,75
"March 3rd, 2020 Joint Primary",4175,0,0,0,0
"March 3rd, 2020 Joint Primary",4176,937,267,150,117
"March 3rd, 2020 Joint Primary",4177,41,7,7,0
"March 3rd, 2020 Joint Primary",4178,3,1,1,0
"March 3rd, 2020 Joint Primary",4179,2829,667,419,248
"March 3rd, 2020 Joint Primary",4180,1,0,0,0
"March 3rd, 2020 Joint Primary",4181,3,1,0,1
"March 3rd, 2020 Joint Primary",4182,0,0,0,0
"March 3rd, 2020 Joint Primary",4183,76,30,28,2
"March 3rd, 2020 Joint Primary",4184,30,6,6,0
"March 3rd, 2020 Joint Primary",4185,1,1,0,1
"March 3rd, 2020 Joint Primary",4186,90,36,34,2
"March 3rd, 2020 Joint Primary",4187,0,0,0,0
"March 3rd, 2020 Joint Primary",4188,0,0,0,0
"March 3rd, 2020 Joint Primary",4189,929,119,95,24
